Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
Personal Tax Returns,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide signed and dated returns with all pages and schedules
Divorce Decree / Child Support Order,Underwriting,UW,Legal,Approval,yes,ExternalPrint,,Provide Copy Of Recorded Final Divorce Decree and/or Child Support Order
Seller Affiliation Letter - ,Underwriting,UW,Property,Approval,yes,,Purchase - LOE Affiliation with seller,Please sign the  letter confirming you are not affiliated with the seller
Appraisal Order - ,Preliminary,Pre,Property,Submittal,yes,ExternalPrint | InternalPrint,Credit card info,Please provide credit card information
Verification of Rent (VOR) - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint,VOR,"We need your property management company to complete a VOR form. Please send us the following: - Name, phone number, and address and Email address of the management company collecting rent for your primary housing"
Credit – Housing History VOR,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,,Provide most recent 12 months rental housing history. Options: 1) Third Party VOR or Private Party VOR with 12 months cancelled checks to support ontime payments. (Must document that it has been paid through the month of closing.)
Addendum(s) To Purchase Contract,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide a signed addendum to the purchase contract.
Title Vesting,Closing,YSCAP,Miscellaneous,Funding,yes,InternalPrint | ExternalPrint,Title must be vested in borrower(s) individual names and not in a trust,"Vesting is approved as follows: ________.
"
Business Tax Returns,Underwriting,UW,Income,Approval,yes,ExternalPrint,,"Provide the last two years signed and dated business tax returns including all pages and schedules, for any business with 25% or greater ownership."
PMI Cert ,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint | InternalPrint,Mortgage insurance will be required based on down payment or equity in the subject property at less than 20%.,Mortgage insurance will be required based on down payment or equity in the subject property at less than 20%.
Gift Receipt,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide evidence borrower is in receipt of gift funds
COG,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,Oak Tree ONLY,COGS required Always even if it's a newly created entity
VVOE - Verbal Verification of Employment,Closing,CL,Income,Funding,yes,InternalPrint,Verbal Verification of Employment must be obtained 5 days prior to funding the loan.  Closing to obtain employer contact information independently from documentation that is in file,Verbal Verification of Employment must be obtained 5 days prior to funding the loan.  Closing to obtain employer contact information independently from documentation that is in file
Vacant unit(s) - ,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,,Please provide Proof that the units are actively listed for rent.
Verification of Improvements (<6 Mo Seasoning),Underwriting,YSCAP,Property,Docs,yes,,Underwriter to confirm improvements support the appraised value increase.,"If the subject property has less than 6 months of ownership seasoning from the acquisition date, provide documentation verifying improvements / rehab work completed since acquisition: itemized scope of work, paid contractor invoices and receipts, copies of permits (where required), and before/after photos. "
Condo Review Documentation,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,This property is located in a condominium project.  Order Condo Docs,"Full review: HOA/Condo questionnaire, annual budget, balance sheet dated within 90 days, Master Insurance Policy (Property, Liability, Fidelity Coverage and Loss Payee), Appraisal, CC&Rs and any amendments, Bylaws. May be subject to additional documentation upon review."
USPS,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint | InternalPrint,,USPS look-up for address and zip code for the subject property.
USDA - Form RD 3555-21 Signatures Required,Closing,CL,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint,Borrower and Lender to sign all required USDA forms (Form RD 3555-21) as needed for submission to USDA,Borrower and Lender to sign all required USDA forms (Form RD 3555-21) as needed for submission to USDA
Picture ID w/ Social Security Number,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint,,Picture ID w/ Social Security Number
