Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
QM.X82,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Safe Harbor Eligibility,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,0,
RE88395.X322,MLDS Prepymt Penalty,standard,Boolean,YN,Y,Prepayment penalty,declared by Encompass,467,boolean-representation
RE88395.X322,MLDS Prepymt Penalty,standard,Boolean,YN,N,No,declared by Encompass,23,boolean-representation
SYS.X2,Trans Details Amort Type Biweekly Days/Yr,standard,String,STRING,360,360,declared by Encompass,0,
SYS.X2,Trans Details Amort Type Biweekly Days/Yr,standard,String,STRING,364,364,declared by Encompass,0,
SYS.X2,Trans Details Amort Type Biweekly Days/Yr,standard,String,STRING,365,365,declared by Encompass,490,
TPO.X119,Preferred AUS,standard,String,STRING,NoPreference,No Preference,declared by Encompass,490,
TPO.X119,Preferred AUS,standard,String,STRING,DU,DU,declared by Encompass,0,
TPO.X119,Preferred AUS,standard,String,STRING,LPA,LPA,declared by Encompass,0,
TPOCONNECTSTATUSUPDATED,TPO Connect Status Updated,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
TPOCONNECTSTATUSUPDATED,TPO Connect Status Updated,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
TQL.X107,TQL - LOMA/LOMR Indicator,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
TQL.X107,TQL - LOMA/LOMR Indicator,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,standard,String,STRING,170,170,declared by Encompass,0,
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,standard,String,STRING,175,175,declared by Encompass,1,
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,standard,String,STRING,180,180,declared by Encompass,489,
ULDD.FNM.X1172,Trans Details Loan Type,standard,String,STRING,Conventional,Conventional,declared by Encompass,490,
ULDD.FNM.X1172,Trans Details Loan Type,standard,String,STRING,VA,VA,declared by Encompass,0,
ULDD.FNM.X1172,Trans Details Loan Type,standard,String,STRING,FHA,FHA,declared by Encompass,0,
ULDD.FNM.X1172,Trans Details Loan Type,standard,String,STRING,FarmersHomeAdministration,USDA-RHS,declared by Encompass,0,
ULDD.FNM.X1172,Trans Details Loan Type,standard,String,STRING,HELOC,HELOC,declared by Encompass,0,
ULDD.FRE.X1172,Trans Details Loan Type,standard,String,STRING,Conventional,Conventional,declared by Encompass,490,
ULDD.FRE.X1172,Trans Details Loan Type,standard,String,STRING,VA,VA,declared by Encompass,0,
ULDD.FRE.X1172,Trans Details Loan Type,standard,String,STRING,FHA,FHA,declared by Encompass,0,
ULDD.FRE.X1172,Trans Details Loan Type,standard,String,STRING,Other,Other,declared by Encompass,0,
ULDD.FRE.X1172,Trans Details Loan Type,standard,String,STRING,FarmersHomeAdministration,USDA-RHS,declared by Encompass,0,
ULDD.X177,ULDD Attachment Type,standard,String,STRING,Attached,Attached,declared by Encompass,2,
